TSS type,chr,start position
outron,chrI,10640
outron,chrI,11285
outron,chrI,27287
exon,chrI,43530
outron,chrI,47202
outron,chrI,49587
outron,chrI,86355
outron,chrI,86559
outron,chrI,91237
outron,chrI,93029
exon,chrI,100692
outron,chrI,110307
outron,chrI,110784
exon,chrI,112285
exon,chrI,114855
outron,chrI,126113
exon,chrI,133978
exon,chrI,145742
outron,chrI,155975
outron,chrI,169711
outron,chrI,171267
outron,chrI,177539
outron,chrI,182942
outron,chrI,183342
outron,chrI,189094
exon,chrI,202979
exon,chrI,208163
exon,chrI,215969
exon,chrI,221583
exon,chrI,240325
exon,chrI,252505
exon,chrI,256678
outron,chrI,261423
outron,chrI,279714
exon,chrI,283405
exon,chrI,289128
outron,chrI,289237
outron,chrI,310951
outron,chrI,315176
outron,chrI,323502
outron,chrI,323789
outron,chrI,331191
outron,chrI,347484
exon,chrI,348400
outron,chrI,348493
outron,chrI,366256
outron,chrI,364354
exon,chrI,373440
outron,chrI,379179
outron,chrI,382469
outron,chrI,382590
outron,chrI,395255
outron,chrI,418504
outron,chrI,461391
exon,chrI,477586
outron,chrI,488483
exon,chrI,489999
outron,chrI,502069
outron,chrI,506239
outron,chrI,506443
outron,chrI,511238
outron,chrI,518563
exon,chrI,521354
exon,chrI,530565
outron,chrI,533092
outron,chrI,535535
outron,chrI,536946
outron,chrI,550258
exon,chrI,557451
exon,chrI,561573
exon,chrI,566409
exon,chrI,575096
outron,chrI,609006
outron,chrI,630411
outron,chrI,636779
exon,chrI,636862
outron,chrI,644855
outron,chrI,654093
exon,chrI,663597
exon,chrI,666887
outron,chrI,694948
outron,chrI,716724
exon,chrI,719730
outron,chrI,720034
exon,chrI,737244
exon,chrI,748445
exon,chrI,756977
exon,chrI,763469
exon,chrI,770943
outron,chrI,802425
outron,chrI,836292
outron,chrI,853393
exon,chrI,856645
outron,chrI,885148
exon,chrI,907304
outron,chrI,938490
exon,chrI,941501
exon,chrI,969408
exon,chrI,973137
outron,chrI,989177
exon,chrI,1001081
exon,chrI,1014359
